year,hhid,plot_area,sr_yield,cc_yield,,
1,3002,0.17962,2233.731,950.1222,,
2,3002,1.1339,2236.59,1448.934,,
1,3004,0.04303,1248.274,200.9239,,
2,3004,0.092124,7.251985,184.9473,,
1,3007,0.099897,1675.647,1282.915,,
2,3007,0.16897,1627.013,1159.241,,
1,3008,0.11392,1898.082,124.6131,,
2,3008,0.054908,237.0924,598.2571,,
1,3011,0.16396,223.615,557.9477,,
2,3011,0.081286,622.6156,1174.413,,
2,3012,0.11107,642.5123,887.8276,,
1,3012,0.041075,1535.509,744.0284,,
2,3018,0.30632,753.5342,78.68467,,
1,3018,0.27603,991.7105,458.6824,,
1,3104,0.034073,1558.944,2585.036,,
2,3104,0.089302,2322.014,438.8107,,
2,3105,0.023435,3391.612,1027.588,,
1,3105,0.10762,536.4767,371.8074,,
1,3107,0.029481,2296.295,465.967,,
2,3107,0.27251,1300.213,922.2771,,
1,3108,0.11442,424.9788,1063.881,,
2,3108,0.087271,741.9223,1470.496,,
2,3110,0.059949,56.02346,518.7656,,
1,3110,0.13216,1526.317,399.9057,,
1,3111,0.16603,213.3734,571.6346,,
2,3111,0.22214,602.5739,692.1898,,
1,3112,0.061705,223.3044,662.0886,,
2,3112,0.16716,1555.113,661.6179,,
2,3113,0.22216,926.9559,1314.416,,
1,3113,0.17006,428.4134,1176.403,,
1,3115,0.025742,5334.991,759.438,,
2,3115,0.089365,502.2184,466.4909,,
2,3116,0.29236,464.3171,1228.885,,
1,3116,0.3604,0,644.7608,,
2,3117,0.032476,1227.182,713.6566,,
1,3117,0.11064,552.2437,725.1448,,
2,3119,0.047085,73.73725,248.0493,,
1,3119,0.18439,16.44749,822.8273,,
1,3203,0.05638,2574.476,958.0165,,
2,3203,0.15636,146.7058,472.756,,
1,3205,0.018146,593.6591,193.4278,,
2,3205,0.030747,246.4369,241.9373,,
1,3207,0.062162,2082.675,466.9602,,
2,3207,0.034185,233.9392,153.1529,,
2,3210,0.16208,35.9441,54.92329,,
1,3210,0.1015,119.7541,62.81932,,
2,3212,0.070358,1188.28,1550.252,,
1,3212,0.048994,8334.719,487.7166,,
1,3213,0.18855,1008.286,1452.992,,
2,3213,0.072276,728.6416,1030.035,,
2,3214,0.15392,229.7958,85.63828,,
1,3214,0.16491,6138.358,415.271,,
2,3220,0.10978,584.4903,1113.988,,
1,3220,0.12548,289.4931,478.95,,
2,3223,0.10088,99.08967,249.9925,,
1,3223,0.073782,78.84817,214.8352,,
2,3302,0.213309,2139.226,1403.132,,
1,3302,0.24137,501.316,776.5717,,
1,3304,0.069369,1260.871,1797.609,,
2,3304,0.214604,8672.354,1758.839,,
2,3305,0.2935,115.3656,480.3855,,
1,3305,0.30745,470.0863,2612.527,,
1,3308,0.12193,4170.4,919.196,,
2,3308,0.061531,906.9308,1334.912,,
2,3309,0.10576,713.9335,89.04423,,
1,3309,0.11729,2294.777,430.1613,,
1,3310,0.16179,370.5385,338.6335,,
2,3310,0.16306,267.1212,616.3599,,
2,3311,0.04897,3107.409,1644.667,,
1,3311,0.122,2200.388,572.1761,,
1,3312,0.19969,2005.298,512.2153,,
2,3312,0.91485,896.6534,1185.491,,
2,3313,0.16933,2462.532,1254.406,,
1,3313,0.13139,4033.158,1789.614,,
2,3317,0.21383,1327.11,1618.086,,
1,3317,0.10471,7302.113,1175.385,,
2,3319,0.19582,1005.21,871.8862,,
1,3319,0.10434,1265.793,735.7966,,
1,3401,0.011129,6482.59,2642.631,,
2,3401,0.087803,526.0012,217.593,,
2,3402,0.035083,1743.193,1205.87,,
1,3402,0.14134,4447.565,370.158,,
2,3404,0.17183,1892.941,843.7382,,
1,3404,0.48992,1361.807,957.2341,,
1,3407,0.031895,3791.451,1307.958,,
2,3407,2.5638,3096.895,1919.261,,
2,3408,0.13216,1479.008,1465.599,,
1,3408,0.097605,3867.23,1573.362,,
1,3410,0.40695,163.723,521.6437,,
2,3410,0.05216,9971.554,442.9109,,
2,3411,0.234,1330.761,1209.025,,
1,3411,0.23065,1683.198,1316.372,,
2,3415,0.29827,1070.682,913.2982,,
1,3415,0.02251,31603.15,717.4665,,
1,3416,0.063964,6051.901,1399.668,,
2,3416,0.22113,583.4388,356.9494,,
1,3501,0.026644,1870.943,576.3256,,
2,3501,0.10979,1934.423,2044.976,,
1,3502,0.021822,4182.643,1190.576,,
2,3502,0.052483,2712.497,1316.487,,
2,3504,0.1875,520.3224,1023.07,,
1,3504,0.38547,1604.098,1538.439,,
2,3505,0.11918,1026.646,1887.355,,
1,3505,0.097207,1658.055,3140.342,,
1,3509,0.094803,6480.977,1105.89,,
2,3509,0.074432,2060.534,125.6341,,
2,3510,0.12113,882.1617,2061.16,,
1,3510,0.08072,7.389089,3484.648,,
2,3511,0.11587,274.0477,362.6948,,
1,3511,0.097062,1581.688,662.7983,,
2,3512,0.026026,254.7641,103.4768,,
